trans_date_trans_time,cc_num,merchant,category,amt,gender,city_pop,trans_num,merch_lat,merch_long,age,trans_hour,trans_day_of_week,trans_weekend,trans_month,distance,avg_amt,total_transactions,total_fraud,fraud_rate,merchant_encoded,job_encoded,category_entertainment,category_food_dining,category_gas_transport,category_grocery_net,category_grocery_pos,category_health_fitness,category_home,category_kids_pets,category_misc_net,category_misc_pos,category_personal_care,category_shopping_net,category_shopping_pos,category_travel
2020-09-18 07:13:39,5359543825610251,"fraud_Jenkins, Hauck and Friesen",gas_transport,59.91,1,18182,784eb609215cbaf3725642a7a9f8bb57,45.274075,-111.649432,45,7,4,0,9,68.67922412198897,66.91849657534247,2920,0,0.0,285,163,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-12-05 17:48:25,5540636818935089,fraud_Jast-McDermott,shopping_pos,3.96,1,76383,74e0ceb1e273a4a37f56dd2b5e6ce03d,43.356278,-71.00895899999999,35,17,5,1,12,74.98324186290589,70.12143756845563,3652,12,0.0032858707557502,284,216,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-15 11:24:44,2720894374956739,fraud_Bartoletti-Wunsch,gas_transport,51.17,0,16305,93c2b2ce1e96db464d9a7c7f2e9fb1dd,42.372483,-83.50802,92,11,5,1,6,57.099604310782176,68.05206403269754,1468,11,0.0074931880108991,24,374,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-29 22:50:25,6011438889172900,"fraud_Roob, Conn and Tremblay",shopping_pos,2.06,0,5161,a269c6b9d9a1603bee720d3ad4fdcfa8,33.833389000000004,-91.158293,27,22,5,1,8,52.78145003781606,91.42283922462944,4385,14,0.0031927023945267,531,147,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-07-25 15:50:35,60495593109,"fraud_Kilback, Nitzsche and Leffler",travel,6.58,1,1263321,9ce4d94b27e36cc2c79bb02351831722,32.458643,-96.577001,76,15,3,0,7,37.942008517284286,64.89167115902966,742,12,0.0161725067385444,318,460,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-07-23 17:29:49,6011477612335392,"fraud_Cormier, Stracke and Thiel",entertainment,24.49,1,2274,a9dd902c9f0aabd11730743a7add3bf9,39.503889,-84.030238,76,17,3,0,7,108.26837739781334,72.80093243243243,740,10,0.0135135135135135,106,128,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-11 23:06:59,2703186189652095,fraud_Skiles LLC,home,99.74,0,3495,46a5dc739d307fa54fa4ffd082e8cad7,36.821934000000006,-81.063288,32,23,4,0,12,83.26834382306983,89.40874274000684,2927,11,0.0037581141100102,581,372,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-07-26 04:56:44,4839615922685395,fraud_Vandervort-Funk,grocery_pos,147.12,1,76,cd7e5a8bc6776c1eb4728b01bfe7554f,38.202346,-86.13601899999999,64,4,4,0,7,96.91480143741909,61.155235816814766,2926,8,0.0027341079972658,645,426,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-12-28 07:36:56,3553629419254918,fraud_Sporer Inc,gas_transport,46.85,0,85,add8330b0172e65570115c36891b71a8,47.631938,-122.50651299999998,36,7,0,0,12,79.63844176621718,52.71149052727688,4381,9,0.0020543254964619,590,392,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-04-30 15:08:10,4481131401752,"fraud_Wintheiser, Dietrich and Schimmel",misc_pos,33.56,1,35299,5151c60669d29fb73ec3690489e020f8,42.740677000000005,-72.59328599999999,44,15,1,0,4,87.67613538296206,57.22272479564033,1468,9,0.0061307901907356,673,178,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-07-18 06:18:56,4561368699336875,fraud_Emard Inc,gas_transport,63.76,0,167,fc29e7c11f1d84dfd14f995b81b1cf9a,35.768583,-82.06145500000001,31,6,5,1,7,88.95891724510811,53.39838994565217,1472,14,0.0095108695652173,157,303,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-12-28 12:29:39,4477156602511939689,"fraud_Swaniawski, Lowe and Robel",shopping_pos,143.78,0,42384,bfc918fa65532994d8571c6410755533,39.901915,-112.220331,28,12,0,0,12,65.51216962859432,88.3879001367989,1462,8,0.0054719562243502,610,207,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-10-21 16:00:01,4586810168620942,fraud_Welch Inc,misc_net,232.49,0,2408,d240399c25709279287b5f58f7dc001f,32.622334,-80.431179,22,16,0,0,10,14.233178600282582,72.95143704379562,4384,10,0.0022810218978102,661,406,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-09-13 14:21:46,30118423745458,fraud_Fadel-Hilpert,health_fitness,64.06,1,30770,c716a9dfd5f52ff5420c6f9ebb4dd16e,39.902735,-73.878979,26,14,4,0,9,64.21656218448997,60.0350633344745,2921,7,0.0023964395754878,168,136,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-07-21 15:15:50,501899453424,"fraud_Gutmann, McLaughlin and Wiza",home,125.72,0,67082,1f02543321b0dc08ada39722d35a217c,34.166418,-85.57076500000001,49,15,6,1,7,37.04334659953913,66.66652986776106,2193,8,0.0036479708162334,213,65,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-12-22 05:24:56,346273234529002,fraud_Smith-Stokes,misc_pos,7.99,0,4575,24d5201f747f9f7d847b54d2e6fbfdbf,36.912054,-80.730638,28,5,6,1,12,95.25876680436124,85.36277091906722,3645,3,0.0008230452674897,583,437,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-12-15 01:37:37,4873783502705038,"fraud_Nienow, Ankunding and Collier",misc_pos,35.56,0,14871,7df154c9b92054f0c96cf406a8a6bb63,48.976376,-121.595244,45,1,6,1,12,77.4836482081828,92.35940329218109,2916,8,0.0027434842249657,452,378,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-11-03 19:31:34,30501624614310,fraud_Weimann-Lockman,kids_pets,48.72,0,302,5203f42127cbf69eec0a8e8fc051caa0,33.218325,-80.395839,46,19,6,1,11,99.4348255060726,57.8809019473864,2927,15,0.0051247010591048,660,278,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-07-08 07:49:22,4378993458389626,"fraud_Olson, Becker and Koch",gas_transport,62.82,1,3807,bea673bb97aa1a0422886cb697270849,43.385327,-71.161372,19,7,0,0,7,65.48574318632389,65.57335157318742,2193,8,0.0036479708162334,463,440,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-09-19 04:43:17,3566875419572867,fraud_Kunze Inc,grocery_pos,115.62,1,1654,cefe9fe7dabd97d941113f4001dd3706,44.082743,-73.00027,28,4,3,0,9,66.71527083932665,100.21745057941376,1467,13,0.0088616223585548,352,482,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-08-02 06:45:17,3573030041201292,fraud_Heidenreich PLC,grocery_pos,78.69,0,302,129e2ae7cfc593f6b5885d8a4db16e46,40.892754,-111.097861,29,6,4,0,8,84.66349279854866,58.953147641831855,2926,14,0.0047846889952153,239,406,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-09-09 15:32:22,4956828990005111019,"fraud_Hagenes, Kohler and Hoppe",food_dining,6.94,1,124967,bba42d8cb7d9d3f98974d302e2c088b3,40.296574,-73.322525,38,15,0,0,9,87.05639969946897,59.85805851791086,3657,10,0.0027344818156959,219,321,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-09 08:45:07,348789608637806,"fraud_Roob, Conn and Tremblay",shopping_pos,190.71,0,331,9b7c7b6f98efc0edfc2ce09bb9930673,41.393371,-98.721677,69,8,0,0,12,104.58663385347889,59.39782683093772,2922,9,0.0030800821355236,531,459,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-03-18 22:26:50,4396682467723,fraud_Pacocha-Weissnat,kids_pets,52.89,1,214518,85ace24918c7ac68114cd5af80a04b45,35.449332,-116.129405,59,22,0,0,3,127.98316732186656,69.2527815468114,737,8,0.010854816824966,469,64,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-04-04 08:22:39,2383461948823908,fraud_Miller-Harris,misc_net,95.67,1,1892,b573aa9e0edb7fdd4b7f93b43c3c0a1f,43.876998,-70.881477,63,8,3,0,4,14.845125880231452,59.288058683043324,2931,15,0.0051177072671443,426,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-12-17 15:33:13,676173792455,"fraud_Lubowitz, Terry and Stracke",personal_care,118.2,0,92043,de65d8cd427a22bc40e35ba630b17b45,33.651858000000004,-117.753554,59,15,3,0,12,80.07646774250415,68.13038795070743,2191,9,0.004107713372889,397,85,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-06-16 07:09:23,4855488158131690372,fraud_Heller-Langosh,gas_transport,72.14,1,970,0e17810304a4e9f7168adf788190fc1a,43.293222,-72.614,25,7,6,1,6,96.43117688541264,95.23212162623848,2927,14,0.0047830543218312,243,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-13 16:15:14,378858024506425,fraud_Schiller Ltd,personal_care,215.02,0,17047,44ff870c78d697133898c78c9f58ee5b,33.187566,-111.16656,85,16,0,0,4,83.66613601604209,65.00795779441798,1469,12,0.0081688223281143,551,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-10-16 23:26:29,30235438713303,"fraud_Witting, Beer and Ernser",home,6.33,1,5512,52c01a04e53673bc26da20bf4825cac0,38.350784,-81.753597,40,23,4,0,10,21.06373204566744,58.77489863013699,3650,11,0.0030136986301369,675,188,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-12-29 15:20:34,180056173248083,fraud_Berge-Ullrich,home,161.88,1,4474,8d07abfa886551fcc5ce66da953d48fb,44.333179,-84.391829,43,15,6,1,12,123.9545408392515,58.691561008861626,1467,8,0.0054533060668029,46,150,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-05-25 22:01:38,4089096483689733451,fraud_Goyette Inc,shopping_net,6.31,0,24536,89907c1f88caf56391d227be3f1488c9,31.661123,-95.74066,36,22,0,0,5,115.1694406015096,88.12627970749543,2188,2,0.0009140767824497,200,301,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-10-12 23:56:03,347073228412010,"fraud_Brown, Homenick and Lesch",health_fitness,72.58,1,110,eba93d4c99e203c99c97db5a4b455320,45.251004,-104.928683,47,23,0,0,10,73.47353304056122,92.97521145975443,1466,9,0.0061391541609822,80,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-04-11 00:03:31,213178850083780,fraud_Bailey-Morar,grocery_pos,99.11,1,1302,d5018c792a4ab13e3d167e9a4859cdd9,44.863587,-119.226969,42,0,3,0,4,121.5507180033805,93.61953075170842,2195,8,0.0036446469248291,20,120,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-07-16 01:23:13,376012912828093,"fraud_Connelly, Reichert and Fritsch",gas_transport,81.18,1,92294,e90081987d013f398b767f9edc0d8d2e,41.246991,-88.33876,50,1,1,0,7,87.73274325753505,65.44073087431694,1464,7,0.0047814207650273,99,86,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-10-14 13:36:18,4745996322265,fraud_Hermann-Gaylord,misc_pos,300.78,0,1423,01c48c5c09d9c4583966a66cc0d5019c,41.800557,-87.221422,21,13,0,0,10,56.61417791192131,75.75266195255475,4384,10,0.0022810218978102,247,373,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-03-16 00:08:38,4045036286570100739,"fraud_Lehner, Mosciski and King",misc_net,13.39,0,3066,6f606906e4331e2969fcf20647cb870e,40.510798,-75.785298,91,0,0,0,3,64.7582600845271,70.60387559808612,1463,9,0.0061517429938482,383,359,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-09-16 17:46:29,6011652924285713,fraud_Turner and Sons,shopping_pos,6.49,0,1847,64dcecdd088b1020c4d1e5c3ebb8433d,38.083515000000006,-91.73289,30,17,0,0,9,88.11611192399096,56.08876912537109,4379,8,0.0018269011189769,640,450,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-06-28 19:20:29,2720433095629877,fraud_Crooks and Sons,personal_care,1.07,1,3224,cd7c353244c0ab1f676555ad2b5e23f6,43.233275,-69.837051,22,19,6,1,6,92.23143322689089,51.02070187471422,4374,16,0.0036579789666209,114,164,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-02-22 13:08:29,3533012926413100,fraud_Stoltenberg-Beatty,shopping_pos,1.85,0,1684,02e721965a14deada7a06dd219dee29a,42.262038,-75.524498,25,13,5,1,2,110.97089685935516,56.99743326488706,2922,7,0.0023956194387405,601,240,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-07-22 17:05:17,4599735407877245080,fraud_Greenholt Ltd,health_fitness,20.08,0,5577,7c073b0df545e31fe275d820b888101c,37.141699,-88.601775,54,17,0,0,7,114.01135484895062,65.55528649386085,1466,8,0.0054570259208731,207,212,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-12-22 14:08:47,4653879239169997,fraud_Windler LLC,kids_pets,6.63,0,6841,0eb6de47059e64e18887588a3a378aa1,37.727108,-86.961391,21,14,1,0,12,100.65872972060436,50.18193309569509,3647,14,0.0038387715930902,671,473,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-12-10 17:56:01,180067151859700,fraud_Conroy Ltd,shopping_pos,11.08,0,128354,d91b32956247d6d41be3e6041df1b1e3,42.346971,-87.577341,28,17,3,0,12,98.33978451174922,88.36294842537654,2191,9,0.004107713372889,101,455,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-22 20:16:23,3596357274378601,"fraud_Runte, Green and Emard",health_fitness,3.15,1,3688,fa1fff95c87e21a88a60591d986fb990,41.813812,-77.353164,46,20,2,0,1,116.6354270045241,61.626926778961845,2909,7,0.0024063251976624,540,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-01-30 03:26:05,3599237318576484,fraud_Friesen Inc,shopping_pos,8.68,0,341,ecccd9ad11089591d6bbf440f5b736ec,37.23792,-86.108531,86,3,2,0,1,66.98551204206038,60.79068660774984,1471,12,0.0081577158395649,179,250,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-28 06:05:58,3547574373318979,fraud_Kihn Inc,shopping_pos,9.4,1,2092,3e5769dee6dad63604e805a49e22b2d9,38.937704,-87.410444,57,6,4,0,6,86.80392715203342,63.02024090909091,2200,14,0.0063636363636363,310,371,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-10-18 14:24:47,6011382886333463,fraud_Gottlieb-Hansen,personal_care,61.69,1,864,414f1194102c890c47ecf405f470308a,44.897597,-83.941408,77,14,4,0,10,43.19312678510035,70.79876954452753,1471,15,0.0101971447994561,199,210,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-11-03 12:18:56,372246459334925,fraud_Hoppe-Parisian,kids_pets,9.57,1,1979,20a4d6a9d102f9a92f0665601289f9dd,44.143838,-103.733337,49,12,6,1,11,23.807483416092,63.77861300591179,2199,11,0.0050022737608003,264,301,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-11-16 06:07:04,501802953619,fraud_Heller-Langosh,gas_transport,74.88,1,308,3084c7cfced5e3ea98115160cbf31580,41.082512,-123.627168,62,6,0,0,11,76.9274365496403,64.41504102096627,2194,7,0.0031905195989061,243,59,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-30 08:08:59,213193596103206,fraud_Macejkovic-Lesch,shopping_pos,136.23,1,95,699109778e3945b6904321fda321873d,46.023721,-84.204567,26,8,0,0,3,35.29265743921637,93.79548353909465,2916,8,0.0027434842249657,403,147,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-10-08 11:33:46,3597337756918966,"fraud_Watsica, Haag and Considine",shopping_pos,114.28,0,7565,8d2807844fceccad027f5a2918da0209,38.810682,-76.496011,68,11,3,0,10,110.07933276727604,62.25675085324232,1465,9,0.0061433447098976,656,249,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-09-04 06:13:57,213173753804333,fraud_Haley Group,misc_pos,4.72,1,5791,07d1e5123aca29d24a4c15ad4ad51631,40.509849,-87.238522,59,6,2,0,9,91.59422639315387,65.42150296939242,2189,9,0.0041114664230242,222,134,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-05-27 15:41:49,4191109180926792,fraud_Jast and Sons,food_dining,46.61,0,4512,b0ce2e69b71c535e2fd68e2f4e0bd327,39.729005,-81.782448,26,15,0,0,5,84.04730583482589,82.56334396355354,2195,7,0.0031890660592255,283,191,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-25 00:32:37,639023984367,fraud_Schmitt Inc,gas_transport,59.33,0,69,deec5145d216ecc454dd17df1626b07c,44.214911,-73.97325699999999,28,0,6,1,8,90.69462605878464,61.646810958904105,3650,14,0.0038356164383561,559,74,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-04-19 21:11:22,675961917837,"fraud_Berge, Kautzer and Harris",personal_care,166.77,1,142,155dc3c0e71024427f23a7c5a73cf17b,40.543972,-96.848019,51,21,4,0,4,12.626271190577397,86.59301480484523,743,13,0.0174966352624495,44,82,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-26 13:02:09,6544734391390261,fraud_Rau-Robel,kids_pets,98.6,1,23727,6530d1b1c6e210a331b0eda1d42a08b0,41.02801,-88.02019200000001,38,13,3,0,3,74.72526005916684,59.54890967153285,2192,9,0.0041058394160583,496,97,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-22 20:12:59,676102124465,fraud_O'Hara-Wilderman,food_dining,94.87,0,94014,ad1db29dc9886904f94e3c545af327c1,38.289859,-121.68553,33,20,5,1,6,53.0419184801519,94.91780178326476,2916,6,0.0020576131687242,458,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23 16:10:34,2291163933867244,"fraud_Becker, Harris and Harvey",personal_care,57.41,1,333497,1cef92b195bc755b0aa9e627b3c13667,34.798112,-80.313402,52,16,0,0,3,108.7300206757376,67.85708314402544,2201,12,0.0054520672421626,35,288,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-04-23 17:56:06,503874407318,fraud_Ziemann-Waters,health_fitness,12.22,1,1595797,c2eadf94beabf789778c84fbd2681b2e,30.549925,-98.687747,44,17,3,0,4,108.0169750546164,60.25340629274966,3655,9,0.0024623803009575,690,188,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-11-30 20:20:50,30230540139182,fraud_Ruecker-Mayert,kids_pets,50.96,1,645,37f7d71b648a6431d291757e4a42a2cd,41.622396,-76.032535,45,20,5,1,11,100.37681495285764,93.84961240310078,2193,11,0.005015959872321,537,325,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-11-24 08:10:07,4301028321766222513,fraud_Murray-Smitham,grocery_pos,91.25,1,198,8e6ffdb03d5fae12ea2781332b2b8e8c,40.743668,-80.844636,41,8,6,1,11,41.71929830249852,96.90269532582737,2931,14,0.004776526782668,447,419,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-03-17 10:22:58,36722699017270,fraud_Luettgen PLC,gas_transport,58.71,0,2872,8c3c8186855377cd6623ea46fdc0ec55,32.535977,-111.631016,31,10,6,1,3,97.34717678816816,87.15752908966462,4383,7,0.001597079625827,399,335,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-09-20 17:29:16,6011581063717667,fraud_Schmidt-Larkin,home,32.08,1,805,31102105778e37cc5f5319e9ee3d0fca,39.829707,-92.979938,50,17,6,1,9,61.84876034187533,74.19323886639677,741,13,0.0175438596491228,558,354,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-10-03 03:04:00,6011724471098086,fraud_Reynolds-Schinner,misc_pos,2.24,0,3684,c4a301637bd9af5523abfc01aa9b95a2,47.164424,-118.267877,38,3,5,1,10,117.97945145712224,88.70429745275267,3651,7,0.0019172829361818,513,307,0,0,0,0,0,0,0,0,0,1,0,0,0,0
